trade_date,ic,rank_ic,abs_ic,p_value,n_samples,significant,cum_ic,cum_rank_ic
2023-09-04,0.034613574533000645,0.034613574533000645,0.034613574533000645,0.01690920176113705,4762,True,93.77037911459144,93.77037911459144
2023-09-05,0.13597009884223557,0.13597009884223557,0.13597009884223557,4.2910103442676566e-21,4763,True,93.90634921343367,93.90634921343367
2023-09-06,0.08956634855178267,0.08956634855178267,0.08956634855178267,5.9085225014301e-10,4764,True,93.99591556198546,93.99591556198546
2023-09-07,0.032946526757639906,0.032946526757639906,0.032946526757639906,0.022948807513836468,4765,True,94.0288620887431,94.0288620887431
2023-09-08,0.04111682037149707,0.04111682037149707,0.04111682037149707,0.004525432020981585,4766,True,94.0699789091146,94.0699789091146
2023-09-11,-0.024683193420421825,-0.024683193420421825,0.024683193420421825,0.08844309788038208,4765,False,94.04529571569418,94.04529571569418
2023-09-12,0.10564650899967871,0.10564650899967871,0.10564650899967871,2.617101423470998e-13,4767,True,94.15094222469386,94.15094222469386
2023-09-13,0.0730223447711444,0.0730223447711444,0.0730223447711444,4.4849091676044315e-07,4767,True,94.22396456946501,94.22396456946501
2023-09-14,0.09303375635943638,0.09303375635943638,0.09303375635943638,1.2240095717316454e-10,4768,True,94.31699832582444,94.31699832582444
2023-09-15,0.005106548312090056,0.005106548312090056,0.005106548312090056,0.7243924037463837,4770,False,94.32210487413653,94.32210487413653
2023-09-18,0.11029187059441266,0.11029187059441266,0.11029187059441266,2.1815777838477992e-14,4771,True,94.43239674473094,94.43239674473094
2023-09-19,-0.035252427278043515,-0.035252427278043515,0.035252427278043515,0.014888108467044464,4771,True,94.3971443174529,94.3971443174529
2023-09-20,0.010996619265818396,0.010996619265818396,0.010996619265818396,0.4476210296893486,4771,False,94.40814093671872,94.40814093671872
2023-09-21,0.05914357873840811,0.05914357873840811,0.05914357873840811,4.3406767468620553e-05,4773,True,94.46728451545714,94.46728451545714
2023-09-22,0.0349626998657625,0.0349626998657625,0.0349626998657625,0.015688755224628505,4775,True,94.5022472153229,94.5022472153229
2023-09-25,0.0527510402414961,0.0527510402414961,0.0527510402414961,0.0002643924060208218,4778,True,94.55499825556439,94.55499825556439
2023-09-26,-0.0703772164493515,-0.0703772164493515,0.0703772164493515,1.1133029517299016e-06,4780,True,94.48462103911503,94.48462103911503
2023-09-27,-0.011648483259810634,-0.011648483259810634,0.011648483259810634,0.4206763101449815,4781,False,94.47297255585522,94.47297255585522
2023-09-28,-0.06281910003594242,-0.06281910003594242,0.06281910003594242,1.3815685155302352e-05,4781,True,94.41015345581928,94.41015345581928
2023-10-09,0.03169553928026059,0.03169553928026059,0.03169553928026059,0.028378275007089792,4783,True,94.44184899509955,94.44184899509955
2023-10-10,0.029759503696735457,0.029759503696735457,0.029759503696735457,0.03956348830366649,4784,True,94.47160849879629,94.47160849879629
2023-10-11,0.04978285275454496,0.04978285275454496,0.04978285275454496,0.0005727947956597933,4783,True,94.52139135155083,94.52139135155083
2023-10-12,0.010433214557124938,0.010433214557124938,0.010433214557124938,0.4705339773814111,4786,False,94.53182456610796,94.53182456610796
2023-10-13,0.04740588787914515,0.04740588787914515,0.04740588787914515,0.0010322017292759937,4789,True,94.57923045398711,94.57923045398711
2023-10-16,0.016350315163935068,0.016350315163935068,0.016350315163935068,0.25794374690894734,4789,False,94.59558076915104,94.59558076915104
2023-10-17,0.12789256691494433,0.12789256691494433,0.12789256691494433,6.409692359743037e-19,4789,True,94.72347333606598,94.72347333606598
2023-10-18,-0.060060982497153095,-0.060060982497153095,0.060060982497153095,3.1776144842255515e-05,4792,True,94.66341235356883,94.66341235356883
